ID	Source	geo_loc	Country	Province	Season	Decade	Date	Serotype
ID05883	Cattle	Canada_NS	Canada	NS	Spring	Early20s	2020_03_06	A
ID00447	Cattle	Canada_BC	Canada	BC	Fall	Late10s	2019_10_25	A
ID02735	Cattle	Canada_ON	Canada	ON	Fall	Late10s	2019_11_11	A
ID05629	Human	Canada_QC	Canada	QC	Fall	Late10s	2019_09_26	A
ID05801	Human	Canada_ON	Canada	ON	Summer	Early20s	2020_08_07	A
ID09226	Human	Canada_QC	Canada	QC	Summer	Early20s	2020_08_27	A
ID02913	Cattle	Canada_QC	Canada	QC	Summer	Early20s	2020_08_11	A
ID03189	Human	Canada_ON	Canada	ON	Summer	Early00s	2000_06_04	A
ID05037	Human	Canada_ON	Canada	ON	Fall	Late00s	2007_09_05	A
ID05792	Human	Canada_ON	Canada	ON	Winter	Early00s	2000_01_02	A
ID08888	Human	Canada_ON	Canada	ON	Spring	Early00s	2000_05_24	A
ID08399	Human	Canada_ON	Canada	ON	Summer	Early00s	2000_06_07	A
ID00559	Human	Canada_ON	Canada	ON	Spring	Early00s	2000_05_31	A
ID08737	Human	Canada_ON	Canada	ON	Spring	Early00s	2000_05_31	A
ID05737	Human	Canada_ON	Canada	ON	Spring	Early00s	2000_05_24	A
ID01956	Human	Canada_ON	Canada	ON	Winter	Late10s	2017_02_17	B
ID00534	Human	Canada_BC	Canada	BC	Spring	Early20s	2023_05_12	B
ID06906	Human	Canada_BC	Canada	BC	Spring	Early20s	2023_05_08	B
ID07591	Chicken	Canada_BC	Canada	BC	Spring	Early10s	2013_05_30	B
ID09923	Chicken	Canada_BC	Canada	BC	Spring	Early10s	2013_05_18	B
ID01324	Chicken	Canada_BC	Canada	BC	Winter	Early10s	2013_02_19	B
ID07926	Chicken	Canada_MB	Canada	MB	Fall	Early10s	2012_11_21	B
ID07954	Chicken	Canada_SK	Canada	SK	Fall	Early10s	2012_11_21	B
ID07812	Chicken	Canada_BC	Canada	BC	Summer	Early10s	2013_06_06	B
ID03782	Chicken	Canada_QC	Canada	QC	Fall	Early10s	2013_10_01	B
ID00055	Chicken	Canada_BC	Canada	BC	Summer	Early10s	2013_07_31	B
ID00641	Chicken	Canada_BC	Canada	BC	Summer	Early10s	2013_07_17	B
ID02126	Chicken	Canada_QC	Canada	QC	Summer	Early10s	2013_07_17	B
ID06173	Chicken	Canada_BC	Canada	BC	Summer	Early10s	2013_07_17	B
ID02109	Chicken	Canada_BC	Canada	BC	Summer	Early10s	2013_07_18	B
ID02226	Chicken	Canada_BC	Canada	BC	Winter	Early10s	2013_12_17	C
ID03829	Chicken	Canada_QC	Canada	QC	Winter	Early10s	2013_02_07	C
ID06575	Chicken	Canada_BC	Canada	BC	Summer	Early10s	2013_08_15	C
ID03267	Chicken	Canada_BC	Canada	BC	Summer	Early10s	2013_08_15	C
ID09439	Chicken	Canada_ON	Canada	ON	Summer	Early10s	2013_07_17	C
ID00159	Chicken	Canada_NT	Canada	NT	Fall	Early10s	2013_09_26	C
ID07006	Chicken	Canada_SK	Canada	SK	Winter	Early10s	2013_02_06	C
ID00229	Chicken	Canada_AB	Canada	AB	Winter	Early10s	2013_02_04	C
ID08612	Chicken	Canada_AB	Canada	AB	Spring	Early10s	2013_03_03	C
ID02784	Chicken	Canada_QC	Canada	QC	Fall	Early10s	2013_09_17	C
ID07374	Human	Canada_QC	Canada	QC	Fall	Early10s	2013_09_18	C
ID07493	Human	Canada_QC	Canada	QC	Fall	Early10s	2013_11_20	C
ID09858	Human	Canada_QC	Canada	QC	Fall	Early10s	2013_10_30	C
ID07527	Human	Canada_QC	Canada	QC	Fall	Early10s	2013_09_20	C
ID02060	Human	Canada_QC	Canada	QC	Fall	Early10s	2013_09_29	C
ID06191	Human	Canada_AB	Canada	AB	Fall	Early20s	2020_10_15	C
ID09028	Human	Canada_AB	Canada	AB	Summer	Late10s	2018_07_19	C
ID04087	Human	Canada_BC	Canada	BC	Winter	Late10s	2018_12_18	C
ID08024	Chicken	Canada_BC	Canada	BC	Spring	Early10s	2013_04_09	C
ID08382	Chicken	Canada_BC	Canada	BC	Fall	Early10s	2013_11_14	C
ID04271	Chicken	Canada_BC	Canada	BC	Summer	Early10s	2013_08_31	C
ID06748	Water	Canada_QC	Canada	QC	Fall	Early20s	2021_10_19	D
ID02199	Human	Canada_QC	Canada	QC	Winter	Early20s	2022_01_12	D
ID00035	Human	Canada_QC	Canada	QC	Summer	Early20s	2021_07_03	D
ID02181	Human	Canada_QC	Canada	QC	Summer	Early20s	2021_08_24	D
ID02399	Human	Canada_ON	Canada	ON	Fall	Early20s	2021_09_30	D
ID06243	Human	Canada_QC	Canada	QC	Fall	Early20s	2021_09_23	D
ID02221	Human	Canada_QC	Canada	QC	Summer	Early20s	2021_08_29	D
ID05572	Human	Canada_QC	Canada	QC	Winter	Early20s	2022_02_07	D
ID05989	Human	Canada_QC	Canada	QC	Winter	Early20s	2022_02_07	D
ID03368	Human	Canada_QC	Canada	QC	Fall	Early20s	2021_09_12	D
ID00376	Human	Canada_QC	Canada	QC	Summer	Early20s	2021_07_22	D
ID06106	Human	Canada_QC	Canada	QC	Summer	Early20s	2022-08-14	D
ID03823	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_10_24	E
ID07394	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_09_07	E
ID09514	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_09_07	E
ID08112	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_09_07	E
ID02811	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_09_07	E
ID04707	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_11_07	E
ID08429	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_11_07	E
ID08651	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_11_07	E
ID04799	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_11_07	E
ID09956	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_11_07	E
ID08794	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_11_07	E
ID03507	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_11_07	E
ID02384	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_11_07	E
ID05732	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_11_07	E
ID00001	Chicken	Canada_BC	Canada	BC	Summer	Early10s	2013_08_29	E
ID03822	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_09_12	E
ID08186	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_09_12	E
ID04045	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_09_12	E
ID06566	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_09_12	E
ID07030	Water	Canada_ON	Canada	ON	Fall	Early10s	2011_09_12	E
ID03663	Water	Canada_ON	Canada	ON	Fall	Early10s	2011-11-07	E
ID04796	Cattle	Canada_QC	Canada	QC	Winter	Early20s	2020_01_31	F
ID04278	Human	Canada_ON	Canada	ON	Summer	Early20s	2023_08_23	F
ID05538	Human	Canada_ON	Canada	ON	Winter	Early20s	2021_12_29	F
ID01101	Cattle	Canada_PE	Canada	PE	Fall	Early20s	2020_09_14	F
ID08442	Cattle	Canada_NS	Canada	NS	Fall	Late10s	2019_10_09	F
