ID	Source	geo_loc	Country	Province	Season	Decade	Date	Serotype
ID05883	Ctl	Canada_NS	Canada	NS	SP	E20s	2020_03_06	A
ID00447	Ctl	Canada_BC	Canada	BC	FA	L10s	2019_10_25	A
ID02735	Ctl	Canada_ON	Canada	ON	FA	L10s	2019_11_11	A
ID05629	Hum	Canada_QC	Canada	QC	FA	L10s	2019_09_26	A
ID05801	Hum	Canada_ON	Canada	ON	SU	E20s	2020_08_07	A
ID09226	Hum	Canada_QC	Canada	QC	SU	E20s	2020_08_27	A
ID02913	Ctl	Canada_QC	Canada	QC	SU	E20s	2020_08_11	A
ID05037	Hum	Canada_ON	Canada	ON	FA	L00s	2007_09_05	A
ID05792	Hum	Canada_ON	Canada	ON	WI	E00s	2000_01_02	A
ID08888	Hum	Canada_ON	Canada	ON	SP	E00s	2000_05_24	A
ID08399	Hum	Canada_ON	Canada	ON	SU	E00s	2000_06_07	A
ID00559	Hum	Canada_ON	Canada	ON	SP	E00s	2000_05_31	A
ID08737	Hum	Canada_ON	Canada	ON	SP	E00s	2000_05_31	A
ID05737	Hum	Canada_ON	Canada	ON	SP	E00s	2000_05_24	A
ID01956	Hum	Canada_ON	Canada	ON	WI	L10s	2017_02_17	B
ID00534	Hum	Canada_BC	Canada	BC	SP	E20s	2023_05_12	B
ID06906	Hum	Canada_BC	Canada	BC	SP	E20s	2023_05_08	B
ID07591	Chk	Canada_BC	Canada	BC	SP	E10s	2013_05_30	B
ID09923	Chk	Canada_BC	Canada	BC	SP	E10s	2013_05_18	B
ID01324	Chk	Canada_BC	Canada	BC	WI	E10s	2013_02_19	B
ID07926	Chk	Canada_MB	Canada	MB	FA	E10s	2012_11_21	B
ID07954	Chk	Canada_SK	Canada	SK	FA	E10s	2012_11_21	B
ID07812	Chk	Canada_BC	Canada	BC	SU	E10s	2013_06_06	B
ID03782	Chk	Canada_QC	Canada	QC	FA	E10s	2013_10_01	B
ID00055	Chk	Canada_BC	Canada	BC	SU	E10s	2013_07_31	B
ID00641	Chk	Canada_BC	Canada	BC	SU	E10s	2013_07_17	B
ID02126	Chk	Canada_QC	Canada	QC	SU	E10s	2013_07_17	B
ID06173	Chk	Canada_BC	Canada	BC	SU	E10s	2013_07_17	B
ID02109	Chk	Canada_BC	Canada	BC	SU	E10s	2013_07_18	B
ID02226	Chk	Canada_BC	Canada	BC	WI	E10s	2013_12_17	C
ID03829	Chk	Canada_QC	Canada	QC	WI	E10s	2013_02_07	C
ID06575	Chk	Canada_BC	Canada	BC	SU	E10s	2013_08_15	C
ID03267	Chk	Canada_BC	Canada	BC	SU	E10s	2013_08_15	C
ID09439	Chk	Canada_ON	Canada	ON	SU	E10s	2013_07_17	C
ID00159	Chk	Canada_NT	Canada	NT	FA	E10s	2013_09_26	C
ID07006	Chk	Canada_SK	Canada	SK	WI	E10s	2013_02_06	C
ID00229	Chk	Canada_AB	Canada	AB	WI	E10s	2013_02_04	C
ID08612	Chk	Canada_AB	Canada	AB	SP	E10s	2013_03_03	C
ID02784	Chk	Canada_QC	Canada	QC	FA	E10s	2013_09_17	C
ID07374	Hum	Canada_QC	Canada	QC	FA	E10s	2013_09_18	C
ID07493	Hum	Canada_QC	Canada	QC	FA	E10s	2013_11_20	C
ID09858	Hum	Canada_QC	Canada	QC	FA	E10s	2013_10_30	C
ID07527	Hum	Canada_QC	Canada	QC	FA	E10s	2013_09_20	C
ID02060	Hum	Canada_QC	Canada	QC	FA	E10s	2013_09_29	C
ID06191	Hum	Canada_AB	Canada	AB	FA	E20s	2020_10_15	C
ID09028	Hum	Canada_AB	Canada	AB	SU	L10s	2018_07_19	C
ID04087	Hum	Canada_BC	Canada	BC	WI	L10s	2018_12_18	C
ID08024	Chk	Canada_BC	Canada	BC	SP	E10s	2013_04_09	C
ID08382	Chk	Canada_BC	Canada	BC	FA	E10s	2013_11_14	C
ID04271	Chk	Canada_BC	Canada	BC	SU	E10s	2013_08_31	C
ID06748	Wat	Canada_QC	Canada	QC	FA	E20s	2021_10_19	D
ID02199	Hum	Canada_QC	Canada	QC	WI	E20s	2022_01_12	D
ID00035	Hum	Canada_QC	Canada	QC	SU	E20s	2021_07_03	D
ID02181	Hum	Canada_QC	Canada	QC	SU	E20s	2021_08_24	D
ID02399	Hum	Canada_ON	Canada	ON	FA	E20s	2021_09_30	D
ID06243	Hum	Canada_QC	Canada	QC	FA	E20s	2021_09_23	D
ID02221	Hum	Canada_QC	Canada	QC	SU	E20s	2021_08_29	D
ID05572	Hum	Canada_QC	Canada	QC	WI	E20s	2022_02_07	D
ID05989	Hum	Canada_QC	Canada	QC	WI	E20s	2022_02_07	D
ID03368	Hum	Canada_QC	Canada	QC	FA	E20s	2021_09_12	D
ID00376	Hum	Canada_QC	Canada	QC	SU	E20s	2021_07_22	D
ID03823	Wat	Canada_ON	Canada	ON	FA	E10s	2011_10_24	E
ID07394	Wat	Canada_ON	Canada	ON	FA	E10s	2011_09_07	E
ID09514	Wat	Canada_ON	Canada	ON	FA	E10s	2011_09_07	E
ID08112	Wat	Canada_ON	Canada	ON	FA	E10s	2011_09_07	E
ID02811	Wat	Canada_ON	Canada	ON	FA	E10s	2011_09_07	E
ID04707	Wat	Canada_ON	Canada	ON	FA	E10s	2011_11_07	E
ID08429	Wat	Canada_ON	Canada	ON	FA	E10s	2011_11_07	E
ID08651	Wat	Canada_ON	Canada	ON	FA	E10s	2011_11_07	E
ID04799	Wat	Canada_ON	Canada	ON	FA	E10s	2011_11_07	E
ID09956	Wat	Canada_ON	Canada	ON	FA	E10s	2011_11_07	E
ID08794	Wat	Canada_ON	Canada	ON	FA	E10s	2011_11_07	E
ID03507	Wat	Canada_ON	Canada	ON	FA	E10s	2011_11_07	E
ID02384	Wat	Canada_ON	Canada	ON	FA	E10s	2011_11_07	E
ID05732	Wat	Canada_ON	Canada	ON	FA	E10s	2011_11_07	E
