sample	gisaid_epi_isl	genbank_accession
Austria/CeMM14613/2021	EPI_ISL_3797286	?
Belgium/UZA-UA-CV1010632690/2021	EPI_ISL_4392364	?
Brazil/AL-IB_139183/2021	EPI_ISL_6570041	?
Brazil/PE-FIOCRUZ-IAM3044/2021	EPI_ISL_3703782	?
Brazil/PR-NVBS5840GENOV828079388634/2021	EPI_ISL_6982692	?
Canada/AB-ABPHL-39605/2021	EPI_ISL_6663898	?
Canada/ON-KHS-21-04533-v1/2021	EPI_ISL_13669977	?
Canada/ON-PHL-21-43811/2021	EPI_ISL_7871978	?
Canada/ON-SHL-21-01558/2021	EPI_ISL_6685562	?
Colombia/VAC-LS-14015101593/2021	EPI_ISL_8173254	?
CzechRepublic/166112/2021	EPI_ISL_1465476	?
Denmark/ALAB-SSI431/2020	EPI_ISL_429527	?
Denmark/DCGC-108985/2021	EPI_ISL_2684113	?
Denmark/DCGC-178556/2021	EPI_ISL_4887615	?
Denmark/DCGC-195477/2021	EPI_ISL_5882453	?
Denmark/DCGC-43109/2021	EPI_ISL_1023387	?
Denmark/DCGC-650464/2021	EPI_ISL_18150618	?
Denmark/DCGC-97925/2021	EPI_ISL_2177888	?
Ecuador/NIC-INSPI-355341/2021	EPI_ISL_6507612	?
England/ALDP-1090284/2021	EPI_ISL_885209	?
England/ALDP-14AC9C8/2021	EPI_ISL_1505660	?
England/ALDP-15A8AE6/2021	EPI_ISL_2347052	?
England/ALDP-1698F61/2021	EPI_ISL_2605665	?
England/ALDP-1737A17/2021	EPI_ISL_2702037	?
England/ALDP-1A6D453/2021	EPI_ISL_3285253	?
England/ALDP-277C1A5/2021	EPI_ISL_5422803	?
England/ALDP-2B4E1B7/2021	EPI_ISL_6820713	?
England/ALDP-A2F0F2/2020	EPI_ISL_587118	?
England/ALDP-C3DD8F/2020	EPI_ISL_730914	?
England/BRBR-19677BB/2021	EPI_ISL_3069492	?
England/CAMC-11AB786/2021	EPI_ISL_997049	?
England/EXET-146CEB/2021	EPI_ISL_1474633	?
England/LIVE-E06E6C/2021	EPI_ISL_1308910	?
England/MILK-1D1087E/2021	EPI_ISL_4014121	?
England/MILK-204BB6C/2021	EPI_ISL_5036428	?
England/MILK-28045B4/2021	EPI_ISL_5789525	?
England/MILK-28322C5/2021	EPI_ISL_5785840	?
England/MILK-2B4A5EC/2021	EPI_ISL_6876309	?
England/MILK-A79888/2020	EPI_ISL_606759	?
England/NORT-YY1U6M/2021	EPI_ISL_6271453	?
England/NOTT-122037/2020	EPI_ISL_866897	?
England/OXON-F4794F/2020	EPI_ISL_867042	?
England/PHEC-R305R30F/2021	EPI_ISL_3292696	?
England/PHEC-T308TC5C/2021	EPI_ISL_3775960	?
England/PHEP-021683/2021	EPI_ISL_3962441	?
England/PLYM-1EB577D/2021	EPI_ISL_4452055	?
England/PLYM-2B36088/2021	EPI_ISL_6805701	?
England/QEUH-17C8CE8/2021	EPI_ISL_2806272	?
England/QEUH-2BB4AEE/2021	EPI_ISL_6867753	?
England/SHEF-C0B38/2020	EPI_ISL_653059	?
France/GES-HCL021147121301/2021	EPI_ISL_4293143	?
France/GES-HMN-21092130203/2021	EPI_ISL_5626045	?
France/IDF-CERBAHC-08389415/2021	EPI_ISL_3824369	?
France/IDF_HB_112003101417/2020	EPI_ISL_940220	?
France/NAQ-IPP13552/2021	EPI_ISL_2532391	?
France/OCC-113/2020	EPI_ISL_671959	?
Germany/BE-RKI-I-229324/2021	EPI_ISL_4224324	?
Germany/BW-RKI-I-202990/2021	EPI_ISL_3712804	?
